"ID","Attending","Graduate_On","Plan_attend","Completed","Completed_On","Graduated","Graduation_Date","ID_PK","Study","Grad_Date_Change","Completed_Date_Change","Graduation_Date_Change","Degree_Recieved"
"10762","New Bedford High School","06/01/14 00:00:00","Boston College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6148","Construction","Month-Only","Year-Only","Year-Only",
"10768","New Bedford High School","06/01/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6149","Fashion Textiles","Month-Only","Year-Only","Year-Only",
"10770","New Bedord High","06/01/14 00:00:00","Brown University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6150","Medical","Month-Only","Year-Only","Year-Only",
"10767","New Bedford HighSchool","06/10/14 00:00:00","Berkley School of Music",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6151","Music",,"Year-Only","Year-Only",
"10773","New Bedford High School","06/04/14 00:00:00","University of California, Santa Barbra",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6152","Engineering",,"Year-Only","Year-Only",
"10769","New Bedford High School","06/01/14 00:00:00","University of Hartford",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6153","Fashion Management ","Month-Only","Year-Only","Year-Only",
"10765","New bedford HighSchool","06/26/14 00:00:00","Some College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6154","Computer Engineering",,"Year-Only","Year-Only",
"10766","New Bedford High School ","06/01/14 00:00:00","Le Cordon Bleu College  ",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6155","cooking ","Month-Only","Year-Only","Year-Only",
"10771","New Bedford High School","01/01/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6156",,"Year-Only","Year-Only","Year-Only",
"10772","New Bedford High School","06/01/14 00:00:00","Bristol Community College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6157","mechanical engineering","Month-Only","Year-Only","Year-Only",
"10774","Del City High School","05/18/14 00:00:00","Rose State Community College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6158","Science/Mathematics",,"Year-Only","Year-Only",
"10784","South Centrel Community College","06/01/17 00:00:00","Minnesota State Universty","Riverland generals degree","05/17/15 00:00:00","NRHEG High School","05/29/13 00:00:00","6161","get my social working degree ",,,,
"10785","Franklin High School ","09/01/11 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6162",,,"Year-Only","Year-Only",
"10786",,"01/01/12 00:00:00",,"NRHEG","06/09/10 00:00:00","Riverland","02/11/11 00:00:00","6163",,"Year-Only",,,"AA"
"10790","Anoka High School","06/05/12 00:00:00","Anoka-Ramsey Community College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6164","Occupational Therapy",,"Year-Only","Year-Only",
"10791","Midwest City High School","05/20/15 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6165",,,"Year-Only","Year-Only",
"10792",,"01/01/12 00:00:00",,"NRHEG ","05/31/13 00:00:00","Moorhead University","04/27/17 00:00:00","6166",,"Year-Only",,,
"10805","Anoka high school","05/31/14 00:00:00","Hamline university",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6167","Law",,"Year-Only","Year-Only",
